Origin State,Dest State,Year,Measure Names,Domestic,Export,Import
Alaska,Nevada,2022,Current Value (millions of dollars),23.794933,,1270.506204
Alaska,New Hampshire,2022,Current Value (millions of dollars),7.633274,,93.438532
Alaska,New Jersey,2022,Current Value (millions of dollars),16.640546,0.148984,521.333017
Alaska,New Mexico,2022,Current Value (millions of dollars),12.779472,0.006,41.361699
Alaska,New York,2022,Current Value (millions of dollars),388.50346,630.564135,573.296736
Alaska,North Carolina,2022,Current Value (millions of dollars),25.515154,0.09884,278.58767
Alaska,North Dakota,2022,Current Value (millions of dollars),1.60926,1.724981,3.068164
Alaska,Ohio,2022,Current Value (millions of dollars),20.749055,0.041254,170.382697
Alaska,Oklahoma,2022,Current Value (millions of dollars),14.592692,,61.225762
Alaska,Oregon,2022,Current Value (millions of dollars),55.369462,0.0,349.111599
Alaska,Pennsylvania,2022,Current Value (millions of dollars),22.523288,1.515879,233.02527
Alaska,Rhode Island,2022,Current Value (millions of dollars),0.45848,0.0,24.61255
Alaska,South Carolina,2022,Current Value (millions of dollars),7.080078,0.092986,70.744658
Alaska,South Dakota,2022,Current Value (millions of dollars),2.027148,0.024564,11.051286
Alaska,Tennessee,2022,Current Value (millions of dollars),21.913221,8.556697,2329.514776
Alaska,Texas,2022,Current Value (millions of dollars),72.529558,31.948085,2689.608273
Alaska,Utah,2022,Current Value (millions of dollars),1327.510042,,96.515111
Alaska,Vermont,2022,Current Value (millions of dollars),5.452982,,19.573333
Alaska,Virginia,2022,Current Value (millions of dollars),28.982252,0.0,67.332576
Alaska,Washington,2022,Current Value (millions of dollars),3531.445711,501.001318,177.296441
Alaska,West Virginia,2022,Current Value (millions of dollars),7.105635,,2.727712
Alaska,Wisconsin,2022,Current Value (millions of dollars),13.345696,,371.093685
Alaska,Wyoming,2022,Current Value (millions of dollars),4.88806,,3.179271
Arizona,Alabama,2022,Current Value (millions of dollars),1079.62291,14.855429,38.162263
Arizona,Alaska,2022,Current Value (millions of dollars),188.853098,838.335831,0.330911
Arizona,Arizona,2022,Current Value (millions of dollars),137570.3201,7047.165643,9683.399082
Arizona,Arkansas,2022,Current Value (millions of dollars),244.007644,0.0,2.301767
Arizona,California,2022,Current Value (millions of dollars),32299.05505,9394.409921,2616.252206
Arizona,Colorado,2022,Current Value (millions of dollars),2619.645182,3.976802,47.280923
Arizona,Connecticut,2022,Current Value (millions of dollars),838.529468,0.055244,283.323605
Arizona,Delaware,2022,Current Value (millions of dollars),94.247819,164.889097,5.074424
Arizona,District of Columbia,2022,Current Value (millions of dollars),28.829396,30.669582,2.448929
Arizona,Florida,2022,Current Value (millions of dollars),3227.007396,669.312853,359.194701
Arizona,Georgia,2022,Current Value (millions of dollars),3504.134958,122.40507,196.393658
Arizona,Hawaii,2022,Current Value (millions of dollars),392.072387,93.790469,0.593672
Arizona,Idaho,2022,Current Value (millions of dollars),526.506176,0.0,13.534307
Arizona,Illinois,2022,Current Value (millions of dollars),2055.190277,115.269025,1903.159436
Arizona,Indiana,2022,Current Value (millions of dollars),1909.421766,0.042532,192.135826
Arizona,Iowa,2022,Current Value (millions of dollars),480.776422,,21.101412
Arizona,Kansas,2022,Current Value (millions of dollars),708.970177,0.222632,0.427542
Arizona,Kentucky,2022,Current Value (millions of dollars),477.045963,1449.491805,106.172011
Arizona,Louisiana,2022,Current Value (millions of dollars),631.025155,20.918739,2.564992
Arizona,Maine,2022,Current Value (millions of dollars),119.571069,290.023994,0.0
Arizona,Maryland,2022,Current Value (millions of dollars),836.131243,15.668867,6.347225
Arizona,Massachusetts,2022,Current Value (millions of dollars),1174.793355,15.057001,314.449955
Arizona,Michigan,2022,Current Value (millions of dollars),1201.802597,906.630406,4293.88013
Arizona,Minnesota,2022,Current Value (millions of dollars),1902.463323,9.674818,127.037149
Arizona,Mississippi,2022,Current Value (millions of dollars),1456.332479,0.007521,0.180208
Arizona,Missouri,2022,Current Value (millions of dollars),1227.838798,0.366549,35.627095
Arizona,Montana,2022,Current Value (millions of dollars),313.609512,240.598105,0.461651
Arizona,Nebraska,2022,Current Value (millions of dollars),879.942496,,0.039618
Arizona,Nevada,2022,Current Value (millions of dollars),4907.784222,17.06474,49.640014
Arizona,New Hampshire,2022,Current Value (millions of dollars),288.07856,195.199811,19.798982
Arizona,New Jersey,2022,Current Value (millions of dollars),1330.615625,251.358245,84.327898
Arizona,New Mexico,2022,Current Value (millions of dollars),6646.917588,13.34551,96.846439
Arizona,New York,2022,Current Value (millions of dollars),2547.978089,702.614074,182.509586
Arizona,North Carolina,2022,Current Value (millions of dollars),1218.388511,91.087735,223.930651
Arizona,North Dakota,2022,Current Value (millions of dollars),57.649666,57.686496,0.0
Arizona,Ohio,2022,Current Value (millions of dollars),1418.389005,7.21476,183.579444
Arizona,Oklahoma,2022,Current Value (millions of dollars),621.031361,0.0,0.424525
Arizona,Oregon,2022,Current Value (millions of dollars),1302.99946,0.3655,132.72461
Arizona,Pennsylvania,2022,Current Value (millions of dollars),1682.638485,89.59811,93.755233
Arizona,Rhode Island,2022,Current Value (millions of dollars),165.170447,0.24463,18.185201
Arizona,South Carolina,2022,Current Value (millions of dollars),963.251625,32.809976,21.379091
Arizona,South Dakota,2022,Current Value (millions of dollars),100.561874,29.368186,0.0
Arizona,Tennessee,2022,Current Value (millions of dollars),636.203473,2018.321033,31.199098
Arizona,Texas,2022,Current Value (millions of dollars),16110.33392,1973.545525,921.066608
Arizona,Utah,2022,Current Value (millions of dollars),3603.474132,0.803724,163.395463
Arizona,Vermont,2022,Current Value (millions of dollars),74.312587,1.280109,8.601996
Arizona,Virginia,2022,Current Value (millions of dollars),1087.495378,61.453716,143.168123
Arizona,Washington,2022,Current Value (millions of dollars),2367.789649,305.249795,73.3459
Arizona,West Virginia,2022,Current Value (millions of dollars),54.515527,,0.0
Arizona,Wisconsin,2022,Current Value (millions of dollars),1007.923037,0.0,273.526386
Arizona,Wyoming,2022,Current Value (millions of dollars),207.496956,,0.284076
Arkansas,Alabama,2022,Current Value (millions of dollars),1923.41128,26.957298,
Arkansas,Alaska,2022,Current Value (millions of dollars),41.050693,64.863074,0.0
Arkansas,Arizona,2022,Current Value (millions of dollars),1505.421014,24.643839,0.009907
Arkansas,Arkansas,2022,Current Value (millions of dollars),88809.46408,992.988519,964.006892
Arkansas,California,2022,Current Value (millions of dollars),3944.557662,648.55851,0.011607
Arkansas,Colorado,2022,Current Value (millions of dollars),965.388998,,0.0
Arkansas,Connecticut,2022,Current Value (millions of dollars),252.436508,0.0,
Arkansas,Delaware,2022,Current Value (millions of dollars),32.726339,6.069564,
Arkansas,District of Columbia,2022,Current Value (millions of dollars),16.616258,2.933512,0.0
Arkansas,Florida,2022,Current Value (millions of dollars),2096.792896,140.48519,0.0
Arkansas,Georgia,2022,Current Value (millions of dollars),3201.145861,582.310614,0.0
Arkansas,Hawaii,2022,Current Value (millions of dollars),59.081635,1.177479,0.0
Arkansas,Idaho,2022,Current Value (millions of dollars),109.153245,,
Arkansas,Illinois,2022,Current Value (millions of dollars),3825.201749,39.19741,0.0
Arkansas,Indiana,2022,Current Value (millions of dollars),3591.150867,5.535711,0.016763
Arkansas,Iowa,2022,Current Value (millions of dollars),1095.797244,,0.017893
Arkansas,Kansas,2022,Current Value (millions of dollars),1432.307383,,0.006338
Arkansas,Kentucky,2022,Current Value (millions of dollars),1373.712172,30.993872,0.160288
Arkansas,Louisiana,2022,Current Value (millions of dollars),8091.766352,175.250171,
Arkansas,Maine,2022,Current Value (millions of dollars),295.072223,69.979493,
Arkansas,Maryland,2022,Current Value (millions of dollars),336.702057,38.413964,
Arkansas,Massachusetts,2022,Current Value (millions of dollars),794.161548,0.299196,0.030156
Arkansas,Michigan,2022,Current Value (millions of dollars),1391.271047,944.387421,0.030245
Arkansas,Minnesota,2022,Current Value (millions of dollars),615.273284,6.200893,0.0
Arkansas,Mississippi,2022,Current Value (millions of dollars),11466.58551,64.870108,
Arkansas,Missouri,2022,Current Value (millions of dollars),7637.211779,0.04446,0.0
Arkansas,Montana,2022,Current Value (millions of dollars),133.949727,27.529833,
Arkansas,Nebraska,2022,Current Value (millions of dollars),711.849369,,
Arkansas,Nevada,2022,Current Value (millions of dollars),143.50692,0.0,
Arkansas,New Hampshire,2022,Current Value (millions of dollars),163.856345,0.0,
Arkansas,New Jersey,2022,Current Value (millions of dollars),1162.61793,34.955963,0.056696
Arkansas,New Mexico,2022,Current Value (millions of dollars),340.928054,0.632667,
Arkansas,New York,2022,Current Value (millions of dollars),1720.49984,142.284527,0.024964
Arkansas,North Carolina,2022,Current Value (millions of dollars),1355.20074,43.024615,0.001563
Arkansas,North Dakota,2022,Current Value (millions of dollars),93.971918,282.17518,
Arkansas,Ohio,2022,Current Value (millions of dollars),2610.526164,0.316858,0.01428
Arkansas,Oklahoma,2022,Current Value (millions of dollars),7953.45287,0.0,
Arkansas,Oregon,2022,Current Value (millions of dollars),508.500609,0.022018,0.0
Arkansas,Pennsylvania,2022,Current Value (millions of dollars),2711.897501,3.873996,0.0
Arkansas,Rhode Island,2022,Current Value (millions of dollars),20.093619,0.125556,24.089
Arkansas,South Carolina,2022,Current Value (millions of dollars),849.554674,231.888379,0.0
Arkansas,South Dakota,2022,Current Value (millions of dollars),132.206015,0.05695,
Arkansas,Tennessee,2022,Current Value (millions of dollars),5481.155937,138.260106,0.5337
Arkansas,Texas,2022,Current Value (millions of dollars),14138.28609,1312.304705,0.019416
Arkansas,Utah,2022,Current Value (millions of dollars),1527.554232,0.0,0.002791
Arkansas,Vermont,2022,Current Value (millions of dollars),69.728173,0.14236,
Arkansas,Virginia,2022,Current Value (millions of dollars),1329.363628,30.6073,0.0
Arkansas,Washington,2022,Current Value (millions of dollars),751.052022,62.194006,0.0
Arkansas,West Virginia,2022,Current Value (millions of dollars),290.456913,,
Arkansas,Wisconsin,2022,Current Value (millions of dollars),1536.556793,0.0,0.0
Arkansas,Wyoming,2022,Current Value (millions of dollars),128.855034,,
California,Alabama,2022,Current Value (millions of dollars),11580.57585,18.45541,1181.574215
California,Alaska,2022,Current Value (millions of dollars),990.912856,3294.960006,324.051685
California,Arizona,2022,Current Value (millions of dollars),47801.23771,1114.209434,11461.1083
California,Arkansas,2022,Current Value (millions of dollars),3209.080002,0.0,1339.625995
California,California,2022,Current Value (millions of dollars),1387216.283,148477.6864,394888.7413
California,Colorado,2022,Current Value (millions of dollars),17186.274,21.922544,6715.3031
California,Connecticut,2022,Current Value (millions of dollars),7032.398188,0.022875,408.798904
California,Delaware,2022,Current Value (millions of dollars),1298.366111,15.173362,379.569084
California,District of Columbia,2022,Current Value (millions of dollars),919.762885,175.387892,35.971386
California,Florida,2022,Current Value (millions of dollars),40801.77297,3070.094556,3299.497255
California,Georgia,2022,Current Value (millions of dollars),19244.98433,371.097645,9221.89124
California,Hawaii,2022,Current Value (millions of dollars),12526.748,194.386152,100.917856
California,Idaho,2022,Current Value (millions of dollars),5199.075619,0.141743,921.081744
California,Illinois,2022,Current Value (millions of dollars),27728.14515,979.113986,18092.91419
California,Indiana,2022,Current Value (millions of dollars),12680.24671,4.941651,10020.66573
California,Iowa,2022,Current Value (millions of dollars),4933.529993,0.0,1593.860743
California,Kansas,2022,Current Value (millions of dollars),7795.718467,0.040661,4536.592734
California,Kentucky,2022,Current Value (millions of dollars),9662.996732,4437.485045,9046.538324
California,Louisiana,2022,Current Value (millions of dollars),5556.739084,103.044138,427.281247
California,Maine,2022,Current Value (millions of dollars),1383.370686,333.578929,17.132786
California,Maryland,2022,Current Value (millions of dollars),10582.10941,329.084387,373.064566
California,Massachusetts,2022,Current Value (millions of dollars),12332.81864,18.195344,4672.444363
California,Michigan,2022,Current Value (millions of dollars),13528.75141,9119.972989,7466.385499
California,Minnesota,2022,Current Value (millions of dollars),11628.11233,27.975888,6553.214078
California,Mississippi,2022,Current Value (millions of dollars),8693.188879,1.08185,3442.488183
California,Missouri,2022,Current Value (millions of dollars),12564.5537,0.032643,6577.310641
California,Montana,2022,Current Value (millions of dollars),2404.10007,2227.788192,131.38052
California,Nebraska,2022,Current Value (millions of dollars),2862.687335,0.0,1290.872431
California,Nevada,2022,Current Value (millions of dollars),43454.78529,53.360144,10271.17948
California,New Hampshire,2022,Current Value (millions of dollars),2900.888502,200.500476,281.188812
California,New Jersey,2022,Current Value (millions of dollars),24499.83697,672.224464,6949.381312
California,New Mexico,2022,Current Value (millions of dollars),3937.501321,223.826089,1101.691467
California,New York,2022,Current Value (millions of dollars),27480.05953,4953.08494,10390.47965
California,North Carolina,2022,Current Value (millions of dollars),14434.00298,51.062803,2195.921368
California,North Dakota,2022,Current Value (millions of dollars),1080.668543,438.908801,414.484215
California,Ohio,2022,Current Value (millions of dollars),40243.24104,320.814349,10631.91256
California,Oklahoma,2022,Current Value (millions of dollars),7489.341456,0.0106,862.071472
California,Oregon,2022,Current Value (millions of dollars),29375.12494,13.088699,5037.863596
California,Pennsylvania,2022,Current Value (millions of dollars),26326.91755,550.876393,2931.341077
California,Rhode Island,2022,Current Value (millions of dollars),880.214091,0.427818,143.295392
California,South Carolina,2022,Current Value (millions of dollars),6330.534319,114.951537,1151.963439
California,South Dakota,2022,Current Value (millions of dollars),875.789627,23.130466,248.792905
California,Tennessee,2022,Current Value (millions of dollars),13842.88719,5991.815308,15637.16074
California,Texas,2022,Current Value (millions of dollars),75773.56963,6570.539287,21529.8355
California,Utah,2022,Current Value (millions of dollars),21760.95107,1.141383,6100.661801
California,Vermont,2022,Current Value (millions of dollars),622.356081,10.899649,29.012975
California,Virginia,2022,Current Value (millions of dollars),13451.39008,551.788018,1015.842334
California,Washington,2022,Current Value (millions of dollars),36206.92398,4802.079816,5272.585737
California,West Virginia,2022,Current Value (millions of dollars),1715.421784,,204.544542
California,Wisconsin,2022,Current Value (millions of dollars),10663.18439,0.03749,6146.142331
California,Wyoming,2022,Current Value (millions of dollars),1258.03016,,200.059762
Colorado,Alabama,2022,Current Value (millions of dollars),640.42979,1.183301,0.086234
Colorado,Alaska,2022,Current Value (millions of dollars),643.105209,272.41577,0.0
Colorado,Arizona,2022,Current Value (millions of dollars),2522.513415,47.66002,2.888867
Colorado,Arkansas,2022,Current Value (millions of dollars),241.256591,,0.003202
Colorado,California,2022,Current Value (millions of dollars),10355.71164,2600.713744,16.565829
Colorado,Colorado,2022,Current Value (millions of dollars),146902.3515,842.387393,877.417091
Colorado,Connecticut,2022,Current Value (millions of dollars),358.215043,0.031593,0.702669
Colorado,Delaware,2022,Current Value (millions of dollars),73.747497,0.351385,0.413921
Colorado,District of Columbia,2022,Current Value (millions of dollars),31.489131,31.449962,0.013505
Colorado,Florida,2022,Current Value (millions of dollars),2514.788849,378.887085,4.621132
Colorado,Georgia,2022,Current Value (millions of dollars),1281.385666,25.465443,6.678361
Colorado,Hawaii,2022,Current Value (millions of dollars),131.732961,30.106025,0.0
Colorado,Idaho,2022,Current Value (millions of dollars),953.353956,0.002358,0.082547
Colorado,Illinois,2022,Current Value (millions of dollars),9050.316564,514.162847,5.242105
Colorado,Indiana,2022,Current Value (millions of dollars),2578.090675,0.440777,10.560763
Colorado,Iowa,2022,Current Value (millions of dollars),1773.423548,0.0,3.523527
Colorado,Kansas,2022,Current Value (millions of dollars),6921.477296,,1.977578
Colorado,Kentucky,2022,Current Value (millions of dollars),2077.991759,861.502159,0.289008
Colorado,Louisiana,2022,Current Value (millions of dollars),1187.747727,63.13833,0.025383
Colorado,Maine,2022,Current Value (millions of dollars),167.084648,25.817479,0.032361
Colorado,Maryland,2022,Current Value (millions of dollars),795.244687,48.622183,0.60328
Colorado,Massachusetts,2022,Current Value (millions of dollars),2753.836539,0.271618,3.565829
Colorado,Michigan,2022,Current Value (millions of dollars),2061.924648,790.889326,1.996161
Colorado,Minnesota,2022,Current Value (millions of dollars),3531.059203,10.350927,1.068839
Colorado,Mississippi,2022,Current Value (millions of dollars),313.899025,0.020498,0.131628
Colorado,Missouri,2022,Current Value (millions of dollars),2658.274357,0.016358,0.739221
Colorado,Montana,2022,Current Value (millions of dollars),2692.86314,254.713338,2.198574
Colorado,Nebraska,2022,Current Value (millions of dollars),9432.753312,,3.23265
Colorado,Nevada,2022,Current Value (millions of dollars),546.711302,0.275653,1.020191
Colorado,New Hampshire,2022,Current Value (millions of dollars),296.639555,,0.204015
Colorado,New Jersey,2022,Current Value (millions of dollars),1496.145969,153.375741,77.825203
Colorado,New Mexico,2022,Current Value (millions of dollars),4801.362211,6.084046,0.630931
Colorado,New York,2022,Current Value (millions of dollars),2025.495638,463.320239,16.672023
Colorado,North Carolina,2022,Current Value (millions of dollars),994.061588,14.35874,1.158127
Colorado,North Dakota,2022,Current Value (millions of dollars),533.545441,201.49168,0.008862
Colorado,Ohio,2022,Current Value (millions of dollars),3788.160382,6.074555,2.953431
Colorado,Oklahoma,2022,Current Value (millions of dollars),4101.604821,,0.38255
Colorado,Oregon,2022,Current Value (millions of dollars),1863.067386,2.25229,7.639351
Colorado,Pennsylvania,2022,Current Value (millions of dollars),1791.420413,90.687012,5.274035
Colorado,Rhode Island,2022,Current Value (millions of dollars),53.151879,0.076534,0.005036
Colorado,South Carolina,2022,Current Value (millions of dollars),512.201757,4.53247,0.989767
Colorado,South Dakota,2022,Current Value (millions of dollars),1305.392436,3.711918,2.124959
Colorado,Tennessee,2022,Current Value (millions of dollars),1215.50457,533.076602,9.295936
Colorado,Texas,2022,Current Value (millions of dollars),8918.572969,1782.233317,38.010359
Colorado,Utah,2022,Current Value (millions of dollars),6970.891172,0.16759,12.753324
Colorado,Vermont,2022,Current Value (millions of dollars),52.840984,0.678555,0.0
Colorado,Virginia,2022,Current Value (millions of dollars),1350.375176,87.699674,2.274757
Colorado,Washington,2022,Current Value (millions of dollars),2180.687307,175.261037,0.209666
Colorado,West Virginia,2022,Current Value (millions of dollars),94.72313,,0.0
Colorado,Wisconsin,2022,Current Value (millions of dollars),1343.213254,0.0,6.012052
Colorado,Wyoming,2022,Current Value (millions of dollars),12192.43755,,7.566343
Connecticut,Alabama,2022,Current Value (millions of dollars),516.40811,0.525479,4.439957
Connecticut,Alaska,2022,Current Value (millions of dollars),25.606749,235.168145,0.0
Connecticut,Arizona,2022,Current Value (millions of dollars),872.810906,28.952336,0.136991
Connecticut,Arkansas,2022,Current Value (millions of dollars),387.62664,,0.115383
Connecticut,California,2022,Current Value (millions of dollars),5561.249977,180.800193,2.515399
Connecticut,Colorado,2022,Current Value (millions of dollars),594.927184,0.016118,0.24607
Connecticut,Connecticut,2022,Current Value (millions of dollars),100968.18,460.125405,2583.163735
Connecticut,Delaware,2022,Current Value (millions of dollars),714.288468,13.487218,0.120205
Connecticut,District of Columbia,2022,Current Value (millions of dollars),407.533736,40.972438,
Connecticut,Florida,2022,Current Value (millions of dollars),3679.712297,448.360532,24.819255
Connecticut,Georgia,2022,Current Value (millions of dollars),1976.984491,171.919408,21.005745
Connecticut,Hawaii,2022,Current Value (millions of dollars),210.349381,17.472588,0.0
Connecticut,Idaho,2022,Current Value (millions of dollars),363.184998,0.035883,0.0
Connecticut,Illinois,2022,Current Value (millions of dollars),4287.879725,200.41778,43.142407
Connecticut,Indiana,2022,Current Value (millions of dollars),1710.248537,0.953633,0.348456
Connecticut,Iowa,2022,Current Value (millions of dollars),397.71951,,0.003101
Connecticut,Kansas,2022,Current Value (millions of dollars),572.794671,,0.037444
Connecticut,Kentucky,2022,Current Value (millions of dollars),858.627949,749.992556,0.136225
Connecticut,Louisiana,2022,Current Value (millions of dollars),340.87591,55.381325,0.017021
Connecticut,Maine,2022,Current Value (millions of dollars),2026.95724,88.281936,1.997351
Connecticut,Maryland,2022,Current Value (millions of dollars),1166.070281,76.76574,0.590078
Connecticut,Massachusetts,2022,Current Value (millions of dollars),25792.25275,53.544641,240.798565
Connecticut,Michigan,2022,Current Value (millions of dollars),1674.58704,305.807091,1.598457
Connecticut,Minnesota,2022,Current Value (millions of dollars),1301.465433,5.881018,0.582861
Connecticut,Mississippi,2022,Current Value (millions of dollars),352.331425,0.0,0.0
Connecticut,Missouri,2022,Current Value (millions of dollars),980.348248,0.0,0.0
Connecticut,Montana,2022,Current Value (millions of dollars),45.125744,28.295151,0.0
Connecticut,Nebraska,2022,Current Value (millions of dollars),340.21909,,0.0
Connecticut,Nevada,2022,Current Value (millions of dollars),289.695587,0.0,0.0
Connecticut,New Hampshire,2022,Current Value (millions of dollars),3976.106056,,29.652387
Connecticut,New Jersey,2022,Current Value (millions of dollars),9382.647017,324.359059,17.607755
Connecticut,New Mexico,2022,Current Value (millions of dollars),78.742861,0.013723,0.0
Connecticut,New York,2022,Current Value (millions of dollars),34087.76269,8252.333959,50.63464
Connecticut,North Carolina,2022,Current Value (millions of dollars),2785.625108,9.357674,9.776839
Connecticut,North Dakota,2022,Current Value (millions of dollars),60.313888,80.800479,0.0
Connecticut,Ohio,2022,Current Value (millions of dollars),2718.383229,3.590825,520.750662
Connecticut,Oklahoma,2022,Current Value (millions of dollars),473.001598,,0.0
Connecticut,Oregon,2022,Current Value (millions of dollars),341.306376,0.005315,0.804593
Connecticut,Pennsylvania,2022,Current Value (millions of dollars),6569.943443,154.320831,23.798806
Connecticut,Rhode Island,2022,Current Value (millions of dollars),6880.907538,5.942947,9.825896
Connecticut,South Carolina,2022,Current Value (millions of dollars),1101.871024,20.371859,7.040581
Connecticut,South Dakota,2022,Current Value (millions of dollars),130.071028,1.519316,
