Origin State,Type,Dest State,Year,Measure Names,Measure Values
Alabama,Export,Arizona,2022,Current Value (millions of dollars),65.355645
Alabama,Export,Alaska,2022,Current Value (millions of dollars),28.364783
Alabama,Export,Alabama,2022,Current Value (millions of dollars),6275.188737
Alabama,Import,Wyoming,2022,Current Value (millions of dollars),0
Alabama,Import,Wisconsin,2022,Current Value (millions of dollars),18.026641
Alabama,Import,West Virginia,2022,Current Value (millions of dollars),0
Alabama,Import,Washington,2022,Current Value (millions of dollars),3.706895
Alabama,Import,Virginia,2022,Current Value (millions of dollars),1155.052497
Alabama,Import,Utah,2022,Current Value (millions of dollars),0.695007
Alabama,Import,Texas,2022,Current Value (millions of dollars),1161.075713
Alabama,Import,Tennessee,2022,Current Value (millions of dollars),510.603616
Alabama,Import,South Dakota,2022,Current Value (millions of dollars),0
Alabama,Import,South Carolina,2022,Current Value (millions of dollars),46.493539
Alabama,Import,Rhode Island,2022,Current Value (millions of dollars),1.754259
Alabama,Import,Pennsylvania,2022,Current Value (millions of dollars),37.990205
Alabama,Import,Oregon,2022,Current Value (millions of dollars),0.465691
Alabama,Import,Oklahoma,2022,Current Value (millions of dollars),176.535489
Alabama,Import,Ohio,2022,Current Value (millions of dollars),202.160728
Alabama,Import,North Dakota,2022,Current Value (millions of dollars),0
Alabama,Import,North Carolina,2022,Current Value (millions of dollars),262.888117
Alabama,Import,New York,2022,Current Value (millions of dollars),81.205649
Alabama,Import,New Mexico,2022,Current Value (millions of dollars),0.638864
Alabama,Import,New Jersey,2022,Current Value (millions of dollars),99.82653
Alabama,Import,New Hampshire,2022,Current Value (millions of dollars),12.079405
Alabama,Import,Nevada,2022,Current Value (millions of dollars),4.720745
Alabama,Import,Nebraska,2022,Current Value (millions of dollars),33.256528
Alabama,Import,Montana,2022,Current Value (millions of dollars),0
Alabama,Import,Missouri,2022,Current Value (millions of dollars),28.154199
Alabama,Import,Mississippi,2022,Current Value (millions of dollars),915.477649
Alabama,Import,Minnesota,2022,Current Value (millions of dollars),21.435466
Alabama,Import,Michigan,2022,Current Value (millions of dollars),140.609908
Alabama,Import,Massachusetts,2022,Current Value (millions of dollars),129.645912
Alabama,Import,Maryland,2022,Current Value (millions of dollars),219.247148
Alabama,Import,Maine,2022,Current Value (millions of dollars),0
Alabama,Import,Louisiana,2022,Current Value (millions of dollars),79.347309
Alabama,Import,Kentucky,2022,Current Value (millions of dollars),1505.215243
Alabama,Import,Kansas,2022,Current Value (millions of dollars),0.896782
Alabama,Import,Iowa,2022,Current Value (millions of dollars),3.098934
Alabama,Import,Indiana,2022,Current Value (millions of dollars),99.306791
Alabama,Import,Illinois,2022,Current Value (millions of dollars),2423.281828
Alabama,Import,Idaho,2022,Current Value (millions of dollars),0
Alabama,Import,Georgia,2022,Current Value (millions of dollars),623.714821
Alabama,Import,Florida,2022,Current Value (millions of dollars),731.195166
Alabama,Import,District of Columbia,2022,Current Value (millions of dollars),0
Alabama,Import,Delaware,2022,Current Value (millions of dollars),0.078561
Alabama,Import,Connecticut,2022,Current Value (millions of dollars),9.335229
Alabama,Import,Colorado,2022,Current Value (millions of dollars),9.128543
Alabama,Import,California,2022,Current Value (millions of dollars),84.18027
Alabama,Import,Arkansas,2022,Current Value (millions of dollars),60.987079
Alabama,Import,Arizona,2022,Current Value (millions of dollars),1.719085
Alabama,Import,Alaska,2022,Current Value (millions of dollars),0.179228
Alabama,Import,Alabama,2022,Current Value (millions of dollars),13606.220523
Alaska,Domestic,Wyoming,2022,Current Value (millions of dollars),4.88806
Alaska,Domestic,Wisconsin,2022,Current Value (millions of dollars),13.345696
Alaska,Domestic,West Virginia,2022,Current Value (millions of dollars),7.105635
Alaska,Domestic,Washington,2022,Current Value (millions of dollars),3531.445711
Alaska,Domestic,Virginia,2022,Current Value (millions of dollars),28.982252
Alaska,Domestic,Vermont,2022,Current Value (millions of dollars),5.452982
Alaska,Domestic,Utah,2022,Current Value (millions of dollars),1327.510042
Alaska,Domestic,Texas,2022,Current Value (millions of dollars),72.529558
Alaska,Domestic,Tennessee,2022,Current Value (millions of dollars),21.913221
Alaska,Domestic,South Dakota,2022,Current Value (millions of dollars),2.027148
